Emp ID,Working Since (Date),Gender,Work Type,Pay Grade,Current Resources,Mental Fatigue Score,Burn Rate,Employee Position
EMP395,2017-08-15,Female,Unorganised,0,1,3,7,Housekeeper
EMP396,2023-02-08,Male,Unorganised,0,3,5,7,Cleaner
EMP397,2018-12-24,Female,Unorganised,0,4,2,4,Housekeeper
EMP398,2023-11-15,Male,Organised,3,8,1,2,Janitor
EMP399,2018-03-06,Female,Unorganised,0,7,2,6,Laundry Attendant
EMP400,2019-03-28,Female,Unorganised,3,4,3,4,Maintenance Staff
EMP401,2017-06-02,Female,Organised,4,3,9,8,Housekeeping Manager
EMP402,2017-07-10,Female,Unorganised,0,7,10,3,Housekeeper
EMP403,2019-09-10,Male,Unorganised,1,3,6,6,Laundry Attendant
EMP404,2019-02-17,Female,Unorganised,0,1,4,5,Housekeeper
EMP405,2022-03-26,Male,Unorganised,4,2,4,2,Housekeeping Manager
EMP406,2022-04-02,Male,Unorganised,1,5,2,4,Kitchen Helper
EMP407,2022-10-02,Male,Unorganised,0,2,10,5,Kitchen Helper
EMP408,2017-07-12,Female,Organised,3,10,4,3,Housekeeping Manager
EMP409,2020-05-06,Male,Organised,1,3,3,5,Cook
EMP410,2020-01-08,Female,Organised,2,3,8,4,Janitor
EMP411,2017-01-08,Male,Unorganised,3,3,8,2,Housekeeping Manager
EMP412,2020-10-18,Male,Organised,1,4,3,6,Janitor
EMP413,2020-02-03,Male,Organised,0,3,2,8,Housekeeping Manager
EMP414,2020-02-22,Male,Organised,2,9,9,5,Cleaner
EMP415,2021-03-29,Male,Organised,1,8,6,1,Cleaner
EMP416,2017-04-04,Female,Unorganised,4,7,9,3,Housekeeper
EMP417,2021-05-30,Male,Unorganised,0,1,2,1,Housekeeper
EMP418,2019-01-01,Female,Unorganised,4,4,2,3,Housekeeper
EMP419,2022-11-15,Male,Unorganised,4,10,3,1,Housekeeping Manager
EMP420,2021-03-13,Male,Unorganised,4,9,4,3,Cleaner
EMP421,2022-05-14,Male,Organised,1,4,10,8,Maintenance Staff
EMP422,2022-03-24,Female,Organised,3,2,1,7,Janitor
EMP423,2021-11-30,Male,Unorganised,3,4,3,5,Cook
EMP424,2019-07-02,Male,Unorganised,3,10,4,2,Housekeeping Manager
EMP425,2022-02-16,Male,Organised,4,5,1,3,Janitor
EMP426,2023-04-06,Female,Organised,1,6,2,1,Housekeeping Manager
EMP427,2020-10-06,Male,Unorganised,0,7,6,4,Housekeeping Manager
EMP428,2019-07-19,Female,Unorganised,4,6,6,8,Housekeeper
EMP429,2018-02-07,Female,Organised,3,3,10,8,Kitchen Helper
EMP430,2021-08-14,Female,Unorganised,2,8,2,1,Cleaner
EMP431,2023-01-30,Female,Organised,0,3,6,4,Housekeeper
EMP432,2018-10-06,Male,Organised,3,9,8,5,Cook
EMP433,2019-09-10,Female,Unorganised,1,3,3,8,Housekeeper
EMP434,2020-03-08,Female,Organised,2,4,2,3,Janitor
EMP435,2023-04-29,Male,Unorganised,2,5,3,3,Kitchen Helper
EMP436,2022-07-04,Female,Organised,4,10,3,6,Janitor
EMP437,2022-11-09,Male,Organised,0,9,6,4,Janitor
EMP438,2021-05-20,Female,Unorganised,3,7,5,1,Cleaner
EMP439,2022-09-23,Male,Organised,3,2,2,2,Kitchen Helper
EMP440,2022-07-16,Male,Unorganised,4,6,10,2,Kitchen Helper
EMP441,2017-07-02,Male,Organised,0,5,6,4,Cook
EMP442,2017-12-22,Male,Organised,3,9,7,2,Kitchen Helper
EMP443,2021-03-27,Male,Organised,4,1,4,3,Housekeeper
EMP444,2017-12-04,Male,Unorganised,1,6,8,1,Laundry Attendant
EMP445,2017-01-28,Male,Unorganised,1,8,6,7,Maintenance Staff
EMP446,2018-04-29,Female,Unorganised,1,3,9,2,Maintenance Staff
EMP447,2019-11-14,Female,Unorganised,1,7,6,2,Maintenance Staff
EMP448,2023-06-02,Female,Organised,2,4,5,3,Kitchen Helper
EMP449,2018-04-15,Female,Organised,1,4,8,5,Security Guard
EMP450,2020-07-26,Male,Unorganised,2,5,2,2,Cleaner
EMP451,2018-04-07,Male,Organised,4,3,9,6,Security Guard
EMP452,2018-12-07,Male,Unorganised,1,7,5,5,Laundry Attendant
EMP453,2017-07-03,Female,Unorganised,0,5,2,4,Housekeeper
EMP454,2021-03-01,Female,Organised,0,7,3,5,Security Guard
EMP455,2019-07-08,Female,Unorganised,3,1,8,8,Housekeeper
EMP456,2020-04-26,Female,Unorganised,1,10,2,1,Cook
EMP457,2021-01-14,Male,Unorganised,2,1,10,3,Cleaner
EMP458,2020-02-02,Female,Unorganised,0,1,9,3,Laundry Attendant
EMP459,2021-08-04,Male,Organised,3,8,7,6,Kitchen Helper
EMP460,2020-11-26,Male,Organised,2,4,5,4,Housekeeper
EMP461,2023-01-09,Female,Unorganised,0,10,7,4,Janitor
EMP462,2018-12-20,Male,Organised,0,4,3,8,Security Guard
EMP463,2018-10-05,Male,Unorganised,4,10,8,1,Maintenance Staff
EMP464,2021-09-28,Female,Organised,3,7,9,3,Janitor
EMP465,2023-02-03,Female,Unorganised,1,2,8,5,Laundry Attendant
EMP466,2020-09-22,Male,Unorganised,2,3,9,6,Housekeeping Manager
EMP467,2023-08-24,Male,Organised,1,10,5,3,Janitor
EMP468,2023-01-18,Female,Organised,0,3,7,2,Maintenance Staff
EMP469,2022-07-13,Male,Organised,3,6,6,6,Housekeeping Manager
EMP470,2023-04-06,Female,Organised,4,8,6,7,Housekeeper
EMP471,2018-03-01,Female,Unorganised,2,10,8,4,Kitchen Helper
EMP472,2019-06-26,Male,Organised,1,9,6,8,Housekeeper
EMP473,2019-08-26,Male,Organised,2,4,4,8,Laundry Attendant
EMP474,2019-03-19,Female,Organised,2,8,8,8,Maintenance Staff
EMP475,2018-11-05,Male,Unorganised,0,8,9,8,Security Guard
EMP476,2023-09-25,Female,Unorganised,2,8,4,1,Kitchen Helper
EMP477,2022-10-27,Female,Organised,3,9,5,1,Janitor
EMP478,2022-11-21,Male,Unorganised,2,3,5,6,Housekeeping Manager
EMP479,2020-11-06,Male,Unorganised,3,6,10,7,Maintenance Staff
EMP480,2019-11-14,Male,Unorganised,3,8,8,4,Janitor
EMP481,2020-05-17,Male,Unorganised,1,8,1,7,Security Guard
EMP482,2017-09-02,Female,Unorganised,0,6,8,7,Cook
EMP483,2019-06-26,Female,Organised,4,8,6,2,Cook
EMP484,2017-05-02,Male,Organised,4,7,9,5,Housekeeper
EMP485,2021-02-14,Female,Unorganised,2,8,8,4,Cleaner
EMP486,2018-03-25,Male,Organised,4,10,10,1,Kitchen Helper
EMP487,2019-06-10,Male,Organised,4,8,7,7,Kitchen Helper
EMP488,2021-01-16,Male,Organised,2,10,5,7,Cleaner
EMP489,2021-04-22,Male,Organised,2,7,4,3,Kitchen Helper
EMP490,2021-03-20,Male,Organised,2,5,7,4,Security Guard
EMP491,2019-04-13,Female,Unorganised,3,4,10,3,Cook
EMP492,2017-03-31,Male,Organised,0,10,7,8,Maintenance Staff
EMP493,2018-08-13,Male,Unorganised,3,4,10,1,Janitor
EMP494,2017-05-21,Male,Organised,0,9,9,2,Janitor
EMP495,2018-12-22,Male,Unorganised,2,8,8,7,Janitor
EMP496,2018-02-13,Male,Unorganised,1,7,1,6,Cook
EMP497,2023-07-16,Female,Unorganised,0,8,10,1,Laundry Attendant
EMP498,2022-06-18,Female,Unorganised,1,1,7,2,Janitor
EMP499,2017-02-13,Male,Organised,1,2,10,3,Janitor
EMP500,2017-04-20,Female,Unorganised,1,1,3,5,Laundry Attendant
