Working Since (Date),Gender,Work Type,Pay Grade,Current Resources,Mental Fatigue Score,Burn Rate,Employee Position
2023-03-12,Female,Unorganised,2,5,0.8,0.37,Cook
2019-08-05,Male,Unorganised,2,8,4.4,0.33,Cleaner
2021-11-03,Male,Unorganised,2,10,5.4,0.36,Maintenance Staff
2018-01-04,Male,Organised,2,10,7.5,0.76,Security Guard
2021-04-09,Female,Unorganised,4,3,3.6,0.32,Housekeeper
2019-06-17,Male,Unorganised,1,9,6.9,0.35,Security Guard
2018-05-23,Male,Organised,4,9,4.9,0.36,Janitor
2024-09-03,Male,Unorganised,1,7,6.1,0.26,Cleaner
2023-05-20,Female,Organised,4,5,6.1,0.42,Cook
2018-12-14,Male,Unorganised,0,5,9.1,0.6,Maintenance Staff
2023-12-24,Female,Unorganised,2,8,3.6,0.42,Security Guard
2019-04-24,Male,Unorganised,4,7,5.3,0.33,Housekeeper
2020-07-09,Female,Unorganised,0,9,4.9,0.57,Housekeeping Manager
2024-07-16,Male,Unorganised,2,3,4,0.85,Laundry Attendant
2021-02-13,Female,Organised,3,9,9.1,0.51,Janitor
2020-02-10,Male,Organised,3,10,4,0.56,Cleaner
2021-01-17,Female,Unorganised,2,1,0.8,0.34,Maintenance Staff
2020-12-22,Female,Unorganised,4,1,3.9,0.36,Cleaner
2024-03-01,Male,Organised,2,1,4,0.38,Laundry Attendant
2021-09-03,Male,Unorganised,4,9,6.5,0.94,Housekeeping Manager
2019-04-20,Female,Organised,3,3,9.1,0.31,Housekeeper
2020-01-30,Female,Organised,1,9,8,0.66,Kitchen Helper
2019-03-15,Female,Unorganised,4,1,3.8,0.81,Cleaner
2019-02-10,Female,Unorganised,2,9,8,0.38,Cook
2022-10-24,Female,Organised,3,7,1.8,0.62,Kitchen Helper
2022-10-19,Male,Organised,3,4,5.7,0.29,Security Guard
2024-06-05,Female,Organised,0,10,3.6,0.37,Cleaner
2020-11-09,Male,Unorganised,2,1,6.5,0.65,Housekeeping Manager
2023-01-16,Female,Organised,4,2,1.8,0.6,Housekeeping Manager
2021-03-06,Female,Organised,0,5,5.4,0.79,Laundry Attendant
2019-01-09,Male,Unorganised,0,6,2.9,0.49,Laundry Attendant
2022-04-17,Female,Organised,4,3,4.9,0.37,Security Guard
2018-06-20,Female,Unorganised,3,8,5.3,0.19,Housekeeping Manager
2019-12-10,Female,Unorganised,4,8,10,0.36,Cleaner
2023-03-11,Male,Organised,2,8,6.7,0.72,Laundry Attendant
2023-07-26,Female,Organised,1,7,0,0,Janitor
2021-12-20,Male,Unorganised,1,7,3.6,0.66,Cook
2021-05-15,Female,Organised,3,4,6.5,0.7,Housekeeper
2019-09-28,Female,Unorganised,4,9,8.2,0.56,Housekeeper
2024-04-13,Female,Unorganised,1,4,5.1,0.11,Housekeeper
2023-10-27,Male,Organised,3,2,6.7,0.48,Housekeeper
2020-06-02,Male,Organised,1,4,6.9,0.63,Cleaner
2018-07-03,Female,Organised,1,10,10,0.56,Cook
2018-07-16,Male,Organised,0,10,5.5,0.71,Cleaner
2021-06-11,Male,Organised,1,6,8.3,0.67,Housekeeping Manager
2022-02-05,Female,Unorganised,4,2,3.6,0.44,Laundry Attendant
2019-12-16,Male,Organised,2,5,5.5,0.43,Housekeeper
2024-01-31,Female,Unorganised,4,7,8.2,0.37,Security Guard
2022-01-01,Female,Unorganised,1,2,6,0.22,Janitor
2018-07-01,Male,Organised,0,9,6.7,0.15,Janitor
2021-09-26,Female,Organised,2,7,5.3,0.11,Kitchen Helper
2024-02-01,Male,Unorganised,0,3,5.3,0.4,Cleaner
2020-11-09,Male,Organised,2,5,10,0.91,Laundry Attendant
2021-09-03,Female,Organised,2,7,6.5,0.62,Security Guard
2021-03-14,Male,Organised,2,4,10,0.16,Maintenance Staff
2023-01-15,Male,Organised,3,10,5.4,0.6,Janitor
2023-08-30,Male,Organised,0,9,6.6,0.7,Kitchen Helper
2019-10-10,Female,Unorganised,2,2,9.1,0.18,Cleaner
2024-06-19,Female,Unorganised,3,6,2.6,0.6,Cleaner
2023-06-13,Female,Unorganised,1,4,3,0.94,Housekeeping Manager
2018-07-07,Female,Unorganised,3,1,9.2,0.5,Security Guard
2022-12-02,Male,Organised,1,2,6.8,0.33,Cleaner
2022-09-24,Male,Unorganised,1,1,4,0.81,Kitchen Helper
2022-11-13,Female,Unorganised,3,6,6.9,0.2,Maintenance Staff
2020-02-22,Male,Unorganised,4,6,5.7,0.38,Cleaner
2018-06-13,Female,Unorganised,2,3,5.8,0.53,Security Guard
2023-09-30,Female,Organised,2,3,0,0.35,Cleaner
2023-02-27,Male,Unorganised,1,1,0.8,0.39,Housekeeper
2023-11-22,Female,Organised,1,10,0.8,0.36,Cleaner
2022-08-29,Male,Unorganised,3,3,5.1,0.57,Security Guard
2018-04-24,Male,Organised,4,7,5.6,0.22,Janitor
2018-04-16,Female,Organised,1,1,7.4,0.56,Cleaner
2019-11-14,Female,Organised,1,8,7.4,0.53,Janitor
2020-02-15,Male,Unorganised,4,8,5.7,0.32,Housekeeping Manager
2018-09-15,Female,Unorganised,0,6,2,0.63,Security Guard
2018-05-03,Male,Organised,0,5,6.5,0.39,Janitor
2019-09-11,Male,Organised,1,8,1.8,0.27,Cleaner
2022-01-31,Female,Unorganised,1,3,5.8,0.46,Security Guard
2018-08-02,Female,Unorganised,4,10,4,0.51,Housekeeping Manager
2024-08-01,Female,Unorganised,4,10,6.3,0.55,Housekeeper
2020-08-28,Male,Organised,4,5,6.6,0.71,Maintenance Staff
2023-02-18,Male,Unorganised,3,7,9.1,0.4,Janitor
2022-03-15,Male,Organised,3,1,2,0.31,Housekeeping Manager
2020-10-08,Female,Unorganised,3,1,7.6,0.2,Janitor
2019-11-02,Female,Organised,3,4,7,0.49,Cook
2018-12-06,Male,Unorganised,4,3,6,0.62,Kitchen Helper
2019-11-19,Male,Unorganised,0,9,3.6,0.7,Security Guard
2022-05-28,Female,Organised,1,1,5,0.85,Housekeeping Manager
2019-06-11,Male,Organised,4,1,6.1,0.2,Housekeeping Manager
2024-01-01,Male,Organised,3,3,5.3,0.35,Janitor
2019-06-21,Male,Unorganised,1,8,5.6,0.49,Cook
2018-09-07,Female,Organised,0,1,7.5,0.41,Housekeeper
2023-05-29,Female,Organised,3,10,5.8,0.2,Kitchen Helper
2023-06-24,Female,Organised,1,8,5,0.76,Janitor
2022-04-20,Female,Organised,2,6,6.1,0.63,Cook
2021-10-30,Male,Unorganised,2,8,3.6,0.79,Cleaner
2024-11-08,Male,Unorganised,0,1,6,0.51,Maintenance Staff
2024-09-22,Male,Unorganised,4,10,3.8,0.12,Housekeeper
2020-11-14,Male,Organised,4,4,8.3,0.79,Laundry Attendant
2021-04-12,Female,Organised,1,2,6.4,0.52,Cook
2019-08-21,Male,Unorganised,0,3,8,0.8,Cleaner
2018-12-12,Female,Organised,4,10,7.7,0.71,Maintenance Staff
2024-04-29,Male,Unorganised,0,2,5.8,0.4,Kitchen Helper
2018-10-27,Male,Unorganised,4,4,2,0.79,Maintenance Staff
2021-07-01,Male,Unorganised,0,6,5.3,0.4,Housekeeping Manager
2019-03-12,Male,Unorganised,0,10,7.6,0.66,Housekeeper
2024-06-14,Male,Organised,3,3,5.9,0.48,Laundry Attendant
2018-05-26,Male,Unorganised,1,5,7,0.26,Cook
2024-05-23,Female,Organised,1,1,2.9,0.38,Housekeeping Manager
2020-05-07,Female,Unorganised,4,7,4,0.72,Maintenance Staff
2019-03-09,Male,Unorganised,3,10,2,0.72,Housekeeper
2023-04-14,Male,Organised,0,2,5,0.65,Kitchen Helper
2021-08-14,Male,Unorganised,0,3,6.3,0.91,Housekeeping Manager
2024-04-15,Male,Unorganised,0,9,6.7,0.44,Cook
2020-06-02,Male,Unorganised,2,10,6.5,0.67,Laundry Attendant
2019-01-06,Male,Organised,2,8,5.9,0.67,Janitor
2019-05-06,Male,Organised,2,5,8.7,0.52,Laundry Attendant
2024-12-04,Male,Unorganised,4,7,4.7,0.43,Janitor
2019-07-08,Male,Organised,3,1,6.4,0.7,Housekeeping Manager
2022-04-24,Female,Unorganised,2,7,0,0.35,Cleaner
2021-07-28,Male,Organised,4,3,6,0.47,Maintenance Staff
2023-06-04,Male,Unorganised,2,10,7.5,0.68,Laundry Attendant
2019-07-15,Female,Organised,3,3,9.1,0.68,Maintenance Staff
2023-04-24,Male,Unorganised,3,5,10,0.56,Housekeeper
2022-09-25,Female,Organised,4,9,7.9,0.38,Housekeeping Manager
2023-02-19,Male,Organised,1,9,4.3,0.33,Janitor
2022-03-29,Female,Organised,2,1,3.8,0.6,Laundry Attendant
2023-08-05,Female,Organised,2,10,5.7,0.22,Cleaner
2021-01-01,Female,Organised,2,5,3.6,0.41,Housekeeper
2023-05-23,Female,Unorganised,0,4,5.7,0.22,Cook
2021-09-06,Male,Organised,4,8,1.8,0.8,Security Guard
2019-08-11,Female,Unorganised,0,3,8.7,0.37,Janitor
2024-02-23,Female,Unorganised,0,9,5,0.45,Cook
2023-08-23,Male,Organised,1,4,6.4,0.5,Security Guard
2019-03-18,Male,Organised,4,6,5.8,0.33,Kitchen Helper
2020-10-11,Male,Organised,1,4,9.2,0.16,Cleaner
2019-01-21,Female,Unorganised,3,2,1.8,0.85,Maintenance Staff
2018-05-03,Female,Unorganised,0,10,6.1,0.8,Housekeeper
2022-03-15,Female,Organised,2,1,4.1,0.29,Maintenance Staff
2018-01-25,Female,Organised,3,4,5.9,0.36,Cleaner
2021-01-09,Female,Unorganised,1,9,6.3,0.45,Cook
2024-06-07,Female,Unorganised,3,1,6.4,0.55,Laundry Attendant
2019-05-24,Female,Unorganised,2,4,4.4,0.42,Security Guard
2021-10-21,Male,Organised,0,8,8.7,0.31,Kitchen Helper
2020-10-19,Male,Unorganised,4,7,5.3,0.28,Cleaner
2021-01-26,Female,Unorganised,0,4,5.7,0.48,Security Guard
2022-01-19,Male,Unorganised,4,2,9.1,0.7,Cook
2018-03-31,Male,Unorganised,4,10,5,0.37,Maintenance Staff
2018-04-02,Male,Organised,2,1,5.3,0.29,Kitchen Helper
2024-03-19,Female,Organised,1,1,6.9,0.71,Maintenance Staff
2018-04-18,Male,Organised,2,9,7.9,0.67,Cleaner
2023-10-02,Male,Unorganised,3,3,3.8,0.67,Cleaner
2020-08-13,Female,Unorganised,2,8,7.9,0.48,Cook
2020-10-11,Male,Organised,3,5,4.1,0.72,Cook
2019-04-29,Female,Organised,0,6,7.4,0.29,Security Guard
2020-04-10,Male,Unorganised,3,9,7.6,0.31,Janitor
2021-10-23,Female,Organised,2,7,2,0.81,Security Guard
2023-03-14,Female,Organised,1,7,6.8,0.32,Security Guard
2022-05-13,Female,Organised,1,7,3.9,0.55,Housekeeping Manager
2021-09-25,Male,Organised,3,4,6.1,0.6,Housekeeper
2024-05-03,Male,Organised,4,2,5.4,0.41,Laundry Attendant
2020-08-05,Male,Organised,0,1,6.2,0.65,Security Guard
2019-08-25,Male,Organised,0,2,7,0.79,Janitor
2019-05-04,Male,Unorganised,1,9,2,0.68,Housekeeper
2021-01-31,Female,Unorganised,0,6,6.7,0.66,Housekeeper
2024-06-08,Female,Organised,1,3,6.3,0.52,Housekeeping Manager
2022-07-09,Female,Unorganised,1,1,5.5,0.53,Cleaner
2022-05-15,Female,Organised,0,2,4.9,0.8,Janitor
2020-05-05,Female,Unorganised,4,3,7.4,0.22,Housekeeping Manager
2023-09-05,Male,Organised,4,5,6.6,0.05,Kitchen Helper
2021-11-13,Female,Unorganised,4,5,6.8,0.38,Housekeeper
2019-08-03,Male,Unorganised,2,5,4.9,0.44,Cook
2023-08-20,Male,Unorganised,4,5,7.4,0.15,Housekeeper
2019-05-20,Male,Unorganised,4,2,5.4,0.35,Janitor
2022-08-18,Female,Unorganised,4,8,3.6,0.35,Security Guard
2023-03-21,Male,Organised,3,4,7.4,0.38,Kitchen Helper
2023-10-23,Male,Organised,4,2,3,0.16,Housekeeping Manager
2023-07-01,Male,Unorganised,3,8,2.9,0.49,Maintenance Staff
2020-08-01,Male,Unorganised,3,6,10,0.04,Security Guard
2021-06-27,Female,Unorganised,0,4,7.3,0.48,Kitchen Helper
2023-08-09,Female,Organised,2,2,10,0.47,Housekeeping Manager
2024-07-15,Female,Organised,2,10,10,0.5,Janitor
2019-09-08,Female,Unorganised,2,10,2.6,0.26,Security Guard
2024-02-06,Male,Unorganised,4,10,2.9,0.68,Cleaner
2021-02-23,Female,Organised,0,5,4.9,0.38,Laundry Attendant
2022-04-19,Male,Unorganised,4,7,5,0.2,Housekeeping Manager
2024-04-29,Female,Unorganised,4,1,3.1,0.66,Cleaner
2020-03-04,Female,Unorganised,1,10,5.8,0.62,Laundry Attendant
2021-11-09,Female,Unorganised,2,5,4.3,0.12,Kitchen Helper
2023-10-03,Female,Organised,4,1,4.1,0.59,Janitor
2019-12-01,Female,Unorganised,1,1,5.6,0.18,Laundry Attendant
2020-01-10,Male,Unorganised,1,3,7.7,0.76,Cleaner
2021-01-01,Male,Unorganised,2,8,5.4,0.5,Cook
2023-12-27,Female,Unorganised,3,8,5.3,0.6,Laundry Attendant
2019-09-05,Female,Organised,2,4,6.9,0.67,Laundry Attendant
2022-01-22,Male,Organised,2,5,5.6,0.28,Housekeeping Manager
2019-07-05,Female,Organised,1,9,6.6,0.55,Housekeeper
2019-04-26,Male,Unorganised,2,2,5.4,0.37,Cook
2019-07-04,Female,Unorganised,4,6,7.3,0.34,Janitor
2023-10-15,Male,Unorganised,1,9,6.5,0.85,Security Guard
2019-01-28,Female,Unorganised,0,1,5.1,0.2,Maintenance Staff
2023-11-01,Female,Organised,1,10,8.3,0.68,Janitor
2023-08-18,Female,Organised,0,5,7.7,0.4,Cleaner
2023-02-21,Male,Unorganised,2,2,4.3,0.15,Laundry Attendant
2022-10-12,Female,Organised,3,4,10,0.94,Housekeeper
2023-05-30,Female,Organised,2,10,4,0.5,Cleaner
2022-03-17,Female,Organised,2,7,4.3,0.15,Cleaner
2021-10-07,Male,Unorganised,0,7,3.9,0.71,Housekeeper
2021-12-28,Female,Organised,0,3,2.9,0.8,Cleaner
2022-06-24,Female,Unorganised,1,8,8.2,0.32,Cleaner
2024-04-02,Male,Organised,0,8,6.7,0.53,Housekeeper
2021-02-12,Male,Organised,4,1,7.5,0.39,Cleaner
2024-03-18,Male,Organised,0,9,6.8,0.44,Cleaner
2022-12-12,Male,Unorganised,0,6,3.8,0.5,Kitchen Helper
2018-10-12,Male,Unorganised,2,7,7.4,0.26,Cleaner
2019-11-22,Male,Unorganised,0,6,5.1,0.42,Cook
2024-01-19,Male,Organised,0,6,5.5,0.2,Housekeeping Manager
2022-07-23,Female,Unorganised,3,3,6.2,0.05,Housekeeper
2018-10-24,Male,Organised,3,1,7.7,0.39,Housekeeping Manager
2020-06-21,Male,Organised,4,4,9.2,0.94,Kitchen Helper
2020-05-24,Female,Organised,1,4,4.4,0.68,Janitor
2020-08-17,Female,Unorganised,4,7,4.9,0.94,Laundry Attendant
2019-07-12,Female,Unorganised,4,9,7.6,0.16,Maintenance Staff
2019-12-14,Male,Organised,0,1,5.1,0.39,Janitor
2020-07-26,Male,Unorganised,2,10,4.7,0.5,Maintenance Staff
2021-04-08,Female,Organised,2,6,0,0.28,Laundry Attendant
2020-07-11,Female,Unorganised,0,1,2.9,0.48,Cook
2021-11-12,Female,Organised,2,10,1.8,0.35,Security Guard
2022-02-22,Male,Organised,2,4,3.6,0.42,Laundry Attendant
2018-10-26,Male,Unorganised,4,3,5.6,0.05,Security Guard
2021-12-08,Female,Unorganised,1,6,6.4,0.19,Housekeeping Manager
2023-08-06,Male,Unorganised,0,7,4,0.45,Laundry Attendant
2019-12-15,Female,Unorganised,1,4,5.3,0.48,Housekeeping Manager
2024-09-02,Male,Unorganised,0,6,0,0.48,Security Guard
2020-06-14,Female,Organised,0,10,2.6,0.4,Kitchen Helper
2019-05-20,Female,Unorganised,0,9,5.1,0.52,Housekeeper
2021-01-22,Male,Organised,4,2,5.7,0.22,Maintenance Staff
2020-11-26,Female,Unorganised,0,2,7,0.32,Cook
2021-09-20,Female,Unorganised,1,3,4.9,0.12,Security Guard
2023-11-12,Female,Unorganised,0,2,4.7,0.39,Maintenance Staff
2023-01-12,Male,Organised,1,5,7.5,0.55,Laundry Attendant
2022-03-20,Female,Unorganised,3,6,10,0.29,Laundry Attendant
2023-05-30,Female,Unorganised,3,8,9.2,0.7,Security Guard
2018-04-06,Female,Organised,4,6,6,0.31,Housekeeping Manager
2019-05-03,Female,Organised,2,4,5.5,0.44,Kitchen Helper
2020-07-17,Female,Unorganised,0,10,1.8,0.48,Cook
2021-01-14,Female,Unorganised,4,2,5.9,0.39,Cleaner
2020-02-25,Female,Unorganised,4,2,4.9,0.94,Laundry Attendant
2022-12-22,Female,Unorganised,0,1,7.4,0.51,Security Guard
2023-09-19,Female,Unorganised,3,10,4.1,0.45,Housekeeper
2021-08-27,Female,Organised,1,6,4.4,0.45,Housekeeping Manager
2023-04-25,Female,Organised,4,4,6.5,0.43,Janitor
2024-03-04,Male,Organised,0,9,9.1,0.6,Cook
2022-10-21,Female,Organised,1,8,8.2,0.34,Maintenance Staff
2020-05-14,Male,Unorganised,1,6,4.4,0.67,Cook
2019-03-21,Male,Organised,2,2,7.7,0.47,Housekeeping Manager
2024-12-02,Female,Unorganised,2,9,3,0.15,Housekeeping Manager
2020-08-10,Female,Organised,3,7,5.4,0.53,Housekeeping Manager
2023-08-13,Female,Unorganised,1,1,7.4,0.5,Cook
2023-12-14,Male,Organised,0,7,5.8,0.36,Maintenance Staff
2024-11-26,Female,Organised,2,2,0,0.42,Cleaner
2018-05-13,Female,Organised,1,7,7.6,0.27,Maintenance Staff
2024-02-25,Female,Organised,2,7,4.3,0.72,Kitchen Helper
2018-02-20,Female,Unorganised,0,3,4,0.04,Janitor
2021-04-09,Female,Organised,3,10,5.1,0.35,Cleaner
2022-11-18,Male,Unorganised,0,6,5.1,0.63,Kitchen Helper
2018-06-07,Female,Organised,4,8,4.9,0.42,Laundry Attendant
2024-10-16,Male,Unorganised,1,4,4,0.65,Housekeeper
2022-08-14,Male,Unorganised,3,5,4.4,0.53,Laundry Attendant
2019-06-10,Male,Organised,4,5,6.7,0.7,Security Guard
2021-03-01,Female,Unorganised,1,10,4.9,0.6,Housekeeping Manager
2023-11-27,Male,Unorganised,0,3,5.7,0.7,Security Guard
2022-09-10,Female,Organised,2,4,4.3,0.47,Housekeeping Manager
2024-12-10,Female,Unorganised,3,6,5,0.38,Maintenance Staff
2020-03-25,Male,Organised,2,10,9.2,0.36,Maintenance Staff
2018-04-23,Male,Unorganised,0,9,9.2,0.5,Security Guard
2023-12-04,Female,Unorganised,4,3,6.2,0.36,Kitchen Helper
2022-08-18,Male,Organised,1,7,10,0.71,Janitor
2021-10-21,Male,Unorganised,0,8,6.8,0.05,Laundry Attendant
2024-06-24,Female,Unorganised,0,7,10,0.05,Janitor
2018-12-17,Female,Unorganised,1,2,4.3,0,Laundry Attendant
2018-02-22,Male,Organised,2,4,4,0.16,Housekeeping Manager
2024-07-03,Female,Unorganised,0,8,3.1,0.91,Cook
2018-03-23,Male,Organised,2,3,5.9,0.42,Kitchen Helper
2021-12-30,Female,Unorganised,3,3,5.6,0.53,Kitchen Helper
2024-05-01,Female,Unorganised,4,1,3.8,0.72,Kitchen Helper
2024-06-16,Female,Unorganised,4,2,7.6,0.8,Kitchen Helper
2022-06-02,Male,Organised,0,1,9.1,0.76,Housekeeping Manager
2024-12-11,Female,Unorganised,4,9,8.2,0.62,Housekeeping Manager
2022-04-25,Female,Organised,3,10,5.3,0.7,Janitor
2020-01-16,Male,Organised,3,6,7.5,0.94,Security Guard
2020-10-26,Female,Organised,4,9,8.3,0.68,Cook
2019-05-26,Male,Organised,2,2,6.3,0.05,Security Guard
2020-09-20,Female,Organised,0,10,8.3,0.12,Security Guard
2019-09-21,Female,Unorganised,2,4,3.8,0.32,Cook
2018-11-09,Male,Organised,1,7,5.9,0.65,Cook
2019-11-26,Male,Organised,4,5,5.8,0.41,Laundry Attendant
2023-08-07,Male,Organised,4,1,6.8,0.27,Laundry Attendant
2019-08-07,Female,Organised,2,3,6.8,0.43,Janitor
2023-06-17,Female,Unorganised,1,3,0,0.44,Janitor
2021-08-04,Male,Unorganised,2,8,8,0.91,Housekeeping Manager
2023-07-06,Male,Unorganised,0,8,5.6,0.94,Cleaner
2022-06-30,Male,Organised,2,1,5.3,0.94,Laundry Attendant
2024-10-15,Female,Organised,4,4,6.1,0.49,Janitor
2020-01-06,Female,Organised,0,5,6.9,0.63,Kitchen Helper
2022-05-16,Female,Organised,1,9,5.8,0.35,Housekeeping Manager
2020-12-05,Male,Organised,2,4,5.5,0.26,Laundry Attendant
2021-01-22,Female,Unorganised,4,7,7.7,0.33,Maintenance Staff
2021-11-24,Male,Organised,3,10,7.9,0.5,Kitchen Helper
2018-01-19,Female,Organised,0,6,6.5,0.38,Kitchen Helper
2018-01-15,Female,Organised,1,10,6.6,0,Security Guard
2024-05-05,Female,Organised,0,9,5.7,0.55,Laundry Attendant
2022-12-08,Female,Unorganised,1,5,2.6,0.8,Laundry Attendant
2020-02-02,Female,Organised,4,7,5.5,0.66,Janitor
2024-03-31,Female,Organised,2,8,2.9,0.19,Maintenance Staff
2024-04-03,Male,Unorganised,1,9,9.2,0.56,Maintenance Staff
2020-10-12,Female,Organised,3,5,6.2,0.15,Kitchen Helper
2019-10-05,Male,Organised,2,5,5.6,0.65,Janitor
2019-01-19,Male,Organised,0,8,7.5,0.72,Cook
2024-12-27,Female,Unorganised,1,2,2.9,0.53,Housekeeper
2018-05-05,Female,Organised,4,9,4.9,0.62,Maintenance Staff
2019-02-03,Male,Unorganised,3,7,2.6,0.68,Security Guard
2022-05-16,Female,Unorganised,1,4,6,0.43,Security Guard
2019-08-17,Male,Organised,0,1,4.9,0.49,Housekeeping Manager
2018-03-27,Female,Organised,1,4,6.9,0.7,Maintenance Staff
2019-08-27,Male,Organised,1,6,8,0.59,Maintenance Staff
2018-02-01,Male,Unorganised,1,6,4.3,0.56,Security Guard
2018-03-21,Female,Unorganised,1,8,9.2,0.39,Laundry Attendant
2018-09-27,Male,Organised,4,8,5.4,0.68,Janitor
2018-11-24,Male,Organised,4,1,6.6,0.7,Housekeeper
2018-11-07,Female,Unorganised,3,1,2.6,0.46,Housekeeping Manager
2023-11-27,Female,Organised,0,3,5.1,0.56,Laundry Attendant
2020-07-22,Female,Organised,4,7,1.8,0.4,Maintenance Staff
2018-03-19,Female,Unorganised,4,4,9.2,0.76,Housekeeping Manager
2018-09-30,Male,Organised,0,7,5,0.12,Kitchen Helper
2021-11-08,Female,Unorganised,3,8,6.3,0.48,Maintenance Staff
2018-10-10,Female,Organised,4,7,3.1,0,Maintenance Staff
2019-05-10,Male,Organised,3,3,3.8,0.71,Cook
2024-03-28,Female,Organised,0,4,6,0.76,Housekeeping Manager
2021-02-11,Female,Organised,2,3,7.3,0.28,Janitor
2019-07-17,Female,Unorganised,2,10,6.6,0.46,Housekeeping Manager
2021-03-21,Female,Unorganised,3,9,6.6,0.76,Housekeeping Manager
2024-04-20,Male,Organised,2,8,8,0.33,Kitchen Helper
2022-12-25,Female,Organised,2,5,7.4,0.42,Cook
2018-11-01,Male,Unorganised,2,10,9.2,0.67,Housekeeper
2019-07-26,Male,Unorganised,3,4,6.4,0.41,Laundry Attendant
2023-08-26,Female,Unorganised,3,1,5.9,0.49,Kitchen Helper
2023-11-03,Female,Unorganised,2,6,6.9,0.11,Kitchen Helper
2018-01-08,Female,Organised,3,10,7.6,0.39,Housekeeping Manager
2021-12-30,Female,Unorganised,4,1,6.1,0.37,Maintenance Staff
2024-04-10,Female,Unorganised,4,7,10,0.45,Laundry Attendant
2021-02-06,Female,Organised,3,8,7.6,0.71,Housekeeper
2024-11-25,Male,Organised,0,10,2.9,0.34,Housekeeping Manager
2023-06-08,Male,Unorganised,1,10,3.9,0.46,Cleaner
2021-06-01,Male,Organised,2,1,3.6,0,Maintenance Staff
2020-02-25,Male,Organised,1,7,4.7,0.51,Kitchen Helper
2021-11-14,Female,Organised,2,1,6.2,0.45,Cook
2020-01-02,Male,Organised,4,7,4,0.62,Cook
2022-07-02,Female,Organised,2,7,4.9,0.41,Maintenance Staff
2021-06-19,Male,Unorganised,4,3,7.9,0.61,Cook
2021-04-30,Female,Unorganised,2,2,9.2,0.63,Housekeeper
2022-08-05,Male,Organised,3,8,3,0.39,Cook
2021-06-04,Female,Unorganised,4,2,3,0.19,Housekeeping Manager
2023-12-30,Male,Unorganised,0,8,5,0.85,Cook
2021-07-04,Female,Organised,4,8,3.6,0.04,Kitchen Helper
2018-03-24,Female,Unorganised,2,8,5.9,0.35,Housekeeper
2021-05-19,Female,Unorganised,1,4,5.4,0.43,Janitor
2019-06-06,Female,Unorganised,3,2,4.3,0.76,Laundry Attendant
2021-03-05,Female,Organised,1,2,7.5,0.28,Janitor
2020-02-17,Male,Unorganised,4,8,4.7,0.04,Security Guard
2022-12-30,Male,Organised,1,1,5.7,0.94,Housekeeper
2024-05-12,Male,Unorganised,4,2,5.7,0.61,Janitor
2022-07-21,Male,Organised,2,4,3.1,0.8,Security Guard
2019-10-23,Female,Unorganised,4,9,5.9,0.94,Security Guard
2023-06-08,Male,Organised,0,3,5.5,0.81,Security Guard
2021-09-27,Female,Unorganised,1,9,6.2,0.39,Laundry Attendant
2021-09-26,Male,Organised,1,10,5.8,0.56,Cleaner
2023-11-05,Female,Unorganised,4,1,0.8,0.79,Janitor
2022-07-27,Male,Unorganised,3,2,0.8,0.56,Housekeeper
2022-01-15,Female,Unorganised,0,2,6.5,0.41,Laundry Attendant
2024-02-08,Female,Organised,4,6,7.9,0.29,Laundry Attendant
2023-06-03,Male,Organised,4,8,8.7,0.76,Kitchen Helper
2023-06-09,Female,Organised,0,10,5,0.18,Security Guard
2022-05-26,Male,Organised,2,6,2.6,0.18,Laundry Attendant
2023-08-01,Female,Unorganised,3,3,5.9,0.81,Cook
2022-07-16,Male,Unorganised,3,1,5.9,0.51,Cleaner
2023-02-15,Male,Unorganised,0,1,6.6,0.26,Janitor
2020-07-27,Female,Unorganised,0,7,2.6,0.51,Laundry Attendant
2021-11-22,Male,Organised,2,8,4.1,0.34,Maintenance Staff
2021-07-26,Female,Unorganised,2,2,8.7,0.63,Janitor
2018-11-21,Male,Organised,0,3,6.8,0.22,Cook
2020-09-30,Male,Unorganised,0,6,6.1,0.91,Janitor
2019-05-15,Female,Organised,4,9,1.8,0.45,Janitor
2024-05-31,Male,Organised,2,8,3.9,0.62,Kitchen Helper
2021-12-13,Male,Unorganised,3,1,8,0.29,Housekeeper
2019-02-27,Female,Organised,1,2,4.9,0.22,Janitor
2019-02-04,Female,Unorganised,4,4,0.8,0.71,Housekeeper
2023-04-01,Male,Organised,2,5,9.1,0.28,Maintenance Staff
2019-07-08,Female,Unorganised,1,9,9.1,0,Housekeeping Manager
2021-07-06,Female,Organised,1,3,4.9,0.5,Cleaner
2019-08-04,Male,Organised,1,9,2.6,0.05,Maintenance Staff
2023-01-13,Female,Organised,0,2,6.8,0.68,Cleaner
2022-04-21,Male,Unorganised,2,10,7.7,0.72,Maintenance Staff
2021-05-10,Male,Unorganised,2,5,6.8,0.47,Kitchen Helper
2020-10-19,Male,Unorganised,0,6,5.7,0.26,Kitchen Helper
2018-05-23,Female,Unorganised,0,9,0.8,0.04,Janitor
2024-10-11,Male,Organised,3,3,5.9,0.36,Cleaner
2022-05-06,Male,Unorganised,1,10,4,0.47,Housekeeping Manager
2020-10-29,Female,Unorganised,3,8,7.6,0.81,Maintenance Staff
2024-08-18,Male,Unorganised,0,4,3.1,0.41,Maintenance Staff
2021-07-05,Female,Unorganised,0,1,6.8,0.27,Kitchen Helper
